id,skill_kind,skill_name,skill_img
77,businessTools,Zapier,https://img.stackshare.io/service/286/0bd8e9aaccec949490082ad22c7ee60f.png
78,businessTools,Joomla!,https://img.stackshare.io/service/1227/SYUsgebu_400x400.jpg
79,businessTools,Microsoft Teams,https://img.stackshare.io/service/5989/teams.png
80,businessTools,Figma,https://img.stackshare.io/service/7007/MFYQOphW_400x400.jpg
81,businessTools,Balsamiq,https://img.stackshare.io/service/141/LJf-7p3B.png
82,businessTools,Adobe Illustrator,https://img.stackshare.io/service/3175/adobe-illustrator.png
83,businessTools,Discord,https://img.stackshare.io/service/4418/gT8yKJa7.jpg
84,businessTools,Medium,https://img.stackshare.io/service/1225/57136-4b1a5b74c7fc047afba480ca3d0bdb80-medium_jpg.jpg
85,businessTools,Pivotal Tracker,https://img.stackshare.io/service/1/422314579c5a2b89852d2ba6432d7716.png
86,businessTools,Zeplin,https://img.stackshare.io/service/3457/SNbLveBx.jpg
87,businessTools,Google Sheets,https://img.stackshare.io/service/1100/google-sheets.jpg
88,businessTools,Basecamp,https://img.stackshare.io/service/110/X-gfZudw_400x400.jpg
89,businessTools,notion.so,https://img.stackshare.io/service/6758/cbCR7w5R_400x400.jpg
90,businessTools,Contentful,https://img.stackshare.io/service/672/Contentful_white_logo.png
91,businessTools,tawk.to,https://img.stackshare.io/service/3949/thi6k5bh_400x400.jpg
92,businessTools,Microsoft Office 365,https://img.stackshare.io/service/4167/KkVyIqPN_400x400.jpg
93,businessTools,Redmine,https://img.stackshare.io/service/1186/redmine-logo-twitter_400x400.png
94,businessTools,Adobe Experience Manager,https://img.stackshare.io/service/4343/8ei_UuLc_200x200.png
95,businessTools,Airtable,https://img.stackshare.io/service/1512/logo.png
96,businessTools,LiveChat,https://img.stackshare.io/service/119/yGTwda9h_400x400.jpg
97,businessTools,Ghost,https://img.stackshare.io/service/1228/XRKixLnT_400x400.png
98,businessTools,Mattermost,https://img.stackshare.io/service/3254/xiE1dr2s_400x400.jpg
99,businessTools,RocketChat,https://img.stackshare.io/service/3124/14EIApTi_400x400.jpg
100,businessTools,Buffer,https://img.stackshare.io/service/825/hnc3q-7x.jpg
101,Utilities,Postman,https://img.stackshare.io/service/1336/xWMRvm_5_400x400.png
102,Utilities,Stack Overflow,https://img.stackshare.io/service/1927/so-icon.png
103,Utilities,Google Maps,https://img.stackshare.io/service/1652/googlemaps.png
104,Utilities,Elasticsearch,https://img.stackshare.io/service/841/Image_2019-05-20_at_4.58.04_PM.png
105,Utilities,GitHub Pages,https://img.stackshare.io/service/683/sBsvBbjY.png
106,Utilities,Amazon Route 53,https://img.stackshare.io/service/38/amazon-route-53.png
107,Utilities,Shopify,https://img.stackshare.io/service/266/xDoyHgZW_400x400.png
108,Utilities,WooCommerce,https://img.stackshare.io/service/3139/y2hg0gx5_400x400.jpg
109,Utilities,TensorFlow,https://img.stackshare.io/service/4717/FtFnqC38_400x400.png
110,Utilities,Magento,https://img.stackshare.io/service/1769/wcU6vWxh_400x400.jpg
111,Utilities,Disqus,https://img.stackshare.io/service/29/af69f7089ebfabe3bb33129bf9d4d325.png
112,Utilities,Namecheap,https://img.stackshare.io/service/40/sSwMqqsH.png
113,Utilities,Netlify,https://img.stackshare.io/service/2748/lV55uZMx.png
114,Utilities,Google Cloud DNS,https://img.stackshare.io/service/696/s01TMTGn.png
115,Utilities,DNS Made Easy,https://img.stackshare.io/service/1685/preview.png
116,Utilities,Let's Encrypt,https://img.stackshare.io/service/4225/lSuJvwXU_400x400.jpg
117,Utilities,Jekyll,https://img.stackshare.io/service/1114/ad968c1615d956e800fa36494314f48c.jpeg
118,Utilities,Squarespace,https://img.stackshare.io/service/178/huJH2lyt_400x400.jpg
119,Utilities,Swagger UI,https://img.stackshare.io/service/3417/pIea9Ji0.png
120,Utilities,Auth0,https://img.stackshare.io/service/601/5Nm3jtVh.jpeg
121,Utilities,Algolia,https://img.stackshare.io/service/589/iEEMVN5L_400x400.jpg
122,Utilities,Dyn,https://img.stackshare.io/service/37/fsKWm_AI_400x400.jpg
123,Utilities,Leaflet,https://img.stackshare.io/service/2392/leaflet_upic.png
124,Utilities,Amazon API Gateway,https://img.stackshare.io/service/3299/aws-api-gateway.png
125,Utilities,AWS IAM,https://img.stackshare.io/service/418/aws-iam.png
126,Utilities,Jupyter,https://img.stackshare.io/service/4190/fGBUdNf__400x400.jpg
127,Utilities,Arduino,https://img.stackshare.io/service/3195/9d19310763171b0d958d23a18b3d7e1c.png
128,Utilities,Keras,https://img.stackshare.io/service/5601/keras.png
129,Utilities,scikit-learn,https://img.stackshare.io/service/2657/scikit-learn-logo.png
130,Utilities,PyTorch,https://img.stackshare.io/service/8171/YYpjkbVn_400x400.jpg
131,Utilities,Solr,https://img.stackshare.io/service/1596/al3IkKF8.png
132,Utilities,Mapbox,https://img.stackshare.io/service/1640/cvosutVr_400x400.jpg
133,Utilities,Amazon Kinesis,https://img.stackshare.io/service/433/16ffae8c667bdbc6a4969f6f02090652.png
